City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Rio Claro,0,BR,1694956061,59,-22.4114,-47.5614,89.51,6.26
1,Port-aux-Français,100,TF,1694955984,96,-49.35,70.2167,42.8,34.85
2,Puerto Natales,10,CL,1694955866,75,-51.7236,-72.4875,34.41,2.66
3,Bethel,0,US,1694955982,80,41.3712,-73.414,63.41,0.0
4,Ushuaia,99,AR,1694955988,81,-54.8,-68.3,30.74,2.55
5,Invercargill,82,NZ,1694955775,78,-46.4,168.35,48.02,11.99
6,Udachny,93,RU,1694955982,90,66.4167,112.4,27.19,7.54
7,Osica de Sus,36,RO,1694956251,39,44.25,24.3167,77.22,11.12
8,Klyuchi,52,RU,1694955818,61,52.2667,79.1667,61.75,5.06
9,Lobujya,92,NP,1694956251,95,27.95,86.8167,35.69,4.99
10,Margaret River,42,AU,1694955986,70,-33.95,115.0667,53.44,10.02
11,Grytviken,100,GS,1694955982,97,-54.2811,-36.5092,28.53,12.62
12,Waitangi,100,NZ,1694955986,88,-43.9535,-176.5597,56.82,15.99
13,Xining,38,CN,1694956252,53,36.6167,101.7667,57.27,4.16
14,Longyearbyen,75,SJ,1694955798,80,78.2186,15.6401,30.04,6.91
15,Raduzhny,100,RU,1694956163,67,62.0961,77.475,60.06,6.53
16,Stavern,46,NO,1694956252,72,59.0,10.0333,60.19,12.57
17,Thompson,79,CA,1694955989,99,55.7435,-97.8558,47.82,6.6
18,Papatowai,95,NZ,1694956000,78,-46.5619,169.4708,45.57,24.54
19,Verkhniy Ufaley,93,RU,1694956252,62,56.0567,60.2306,65.75,3.27
20,Gamba,100,GA,1694956182,77,-2.65,10.0,77.63,8.59
21,Moama,10,AU,1694956252,60,-36.1167,144.7833,65.98,8.68
22,Palikir,94,FM,1694956032,75,6.9248,158.1611,82.49,5.77
23,Chaparral,100,CO,1694956252,41,3.7232,-75.4832,80.2,3.36
24,Nadym,41,RU,1694955931,76,65.5333,72.5167,56.66,13.42
25,Avarua,75,CK,1694955815,83,-21.2078,-159.775,69.85,5.75
26,Cha-am,100,TH,1694956253,75,12.8,99.9667,81.86,8.75
27,Broken Hill,0,AU,1694956014,17,-31.95,141.4333,76.03,9.57
28,Isafjordur,17,IS,1694955749,58,66.0755,-23.124,48.58,3.6
29,Blackmans Bay,96,AU,1694955988,69,-43.0167,147.3167,48.33,6.04
30,Yuxia,100,CN,1694956194,85,34.0615,108.6291,74.14,3.27
31,Fale old settlement,60,TK,1694956026,80,-9.3852,-171.2468,82.74,16.49
32,Bredasdorp,25,ZA,1694955990,46,-34.5322,20.0403,64.74,12.17
33,Adamstown,100,PN,1694955982,70,-25.066,-130.1015,65.75,15.52
34,Ouani,71,KM,1694956253,69,-12.1322,44.4258,78.58,3.31
35,Angaur State,70,PW,1694956253,77,6.906,134.13,82.04,5.03
36,Chonchi,27,CL,1694955987,88,-42.6128,-73.8092,42.12,2.26
37,Puerto Aisén,83,CL,1694956013,93,-45.4,-72.7,37.44,3.27
38,Najrān,99,SA,1694956253,9,17.4924,44.1277,94.78,13.62
39,Jamestown,0,US,1694955983,86,42.097,-79.2353,60.71,1.01
40,Vilyuchinsk,4,RU,1694956019,75,52.9306,158.4028,49.95,15.55
41,Botou,88,CN,1694956254,65,38.0667,116.5667,75.81,7.23
42,Cadale,93,SO,1694956254,69,2.7603,46.3222,80.8,20.04
43,Duong Dong,20,VN,1694956254,89,10.2167,103.9667,80.6,1.14
44,Joshīmath,98,IN,1694956254,87,30.5667,79.5667,68.97,1.21
45,Utrik,100,MH,1694955992,81,11.2278,169.8474,83.61,21.23
46,Wailua Homesteads,20,US,1694955985,78,22.0669,-159.378,77.79,14.97
47,Ust-Nera,82,RU,1694955990,77,64.5667,143.2,35.37,2.01
48,Edinburgh of the Seven Seas,6,SH,1694955984,79,-37.0676,-12.3116,54.66,16.91
49,Belyy Yar,0,RU,1694955945,59,53.6039,91.3903,60.69,0.0
50,Ulladulla,1,AU,1694956009,87,-35.35,150.4667,56.97,4.38
51,Xifeng,70,CN,1694956254,68,42.7372,124.7222,65.48,4.52
52,Yellowknife,75,CA,1694955737,98,62.456,-114.3525,52.41,5.75
53,Vadsø,100,NO,1694955984,79,70.0744,29.7487,47.28,14.43
